GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,TS
57.495117,6.5307617,14.984131,-0.25,0.04248047,0.9753418,0.01940918,0.09814453,-0.083862305,59
58.044434,0.9765625,35.491943,-0.21923828,0.08618164,1.0014648,0.020507812,0.10803223,-0.09301758,60
44.067383,-5.645752,65.56702,-0.18115234,0.12109375,1.0385742,0.020507812,0.10803223,-0.09301758,61
15.823364,-11.154175,93.12439,-0.1484375,0.15039062,1.0942383,0.024536133,0.111328125,-0.08605957,62
-14.129639,-12.313843,119.61365,-0.12670898,0.16992188,1.1481934,0.024536133,0.111328125,-0.08605957,63
-40.115356,-3.829956,140.24353,-0.12133789,0.18383789,1.2207031,0.024536133,0.111328125,-0.08605957,64
-41.94641,20.78247,142.74597,-0.12475586,0.18164062,1.2805176,0.020141602,0.11352539,-0.08532715,65
-33.26416,47.561646,136.76453,-0.11987305,0.17651367,1.3068848,0.020141602,0.11352539,-0.08532715,66
-26.031494,68.481445,120.407104,-0.111083984,0.1887207,1.2890625,-0.003295898,0.10217285,-0.09338379,67
-27.09961,84.365845,95.4895,-0.11767578,0.19848633,1.25,-0.003295898,0.10217285,-0.09338379,68
-37.53662,92.39197,80.03235,-0.15576172,0.19116211,1.2106934,-0.003295898,0.10217285,-0.09338379,69
-50.15564,92.13257,79.940796,-0.2055664,0.16723633,1.197998,-0.026733398,0.09082031,-0.10107422,70
-65.03296,82.611084,91.61377,-0.26831055,0.1496582,1.2131348,-0.026733398,0.09082031,-0.10107422,71
-80.97839,67.62695,107.26929,-0.31103516,0.15454102,1.2312012,-0.036254883,0.08532715,-0.10473633,72
-150.26855,36.42273,117.752075,-0.32543945,0.1730957,1.2641602,-0.036254883,0.08532715,-0.10473633,74
-175.06409,34.13391,96.05408,-0.31274414,0.18945312,1.2854004,-0.045776367,0.07800293,-0.1105957,75
-182.44934,39.07776,57.403564,-0.2998047,0.20874023,1.3208008,-0.045776367,0.07800293,-0.1105957,76
-182.9071,50.41504,13.748169,-0.27978516,0.21972656,1.3747559,-0.061157227,0.06262207,-0.115722656,77
-178.45154,57.266235,-15.609741,-0.26220703,0.22875977,1.4150391,-0.061157227,0.06262207,-0.115722656,78
-185.91309,58.95996,-32.318115,-0.24243164,0.21948242,1.4504395,-0.061157227,0.06262207,-0.115722656,79
-198.07434,51.498413,-39.45923,-0.22094727,0.19189453,1.4733887,-0.07324219,0.03479004,-0.12597656,80
-210.32715,42.404175,-35.38513,-0.2043457,0.14404297,1.4960938,-0.07324219,0.03479004,-0.12597656,81
-235.83984,43.96057,-24.337769,-0.19433594,0.10498047,1.5234375,-0.07434082,0.014282227,-0.12597656,82
-260.52856,57.617188,-30.685425,-0.19213867,0.08154297,1.5666504,-0.07434082,0.014282227,-0.12597656,83
-279.99878,75.62256,-55.892944,-0.20581055,0.08569336,1.6171875,-0.07434082,0.014282227,-0.12597656,84
-293.12134,100.28076,-95.184326,-0.23828125,0.10644531,1.6801758,-0.080200195,-0.013549805,-0.12487793,85
-297.33276,123.73352,-129.66919,-0.27441406,0.109375,1.7282715,-0.080200195,-0.013549805,-0.12487793,86
-291.77856,132.58362,-158.44727,-0.29956055,0.0859375,1.7438965,-0.09448242,-0.05419922,-0.12231445,87
-286.07178,131.68335,-176.04065,-0.29711914,0.046875,1.7475586,-0.09448242,-0.05419922,-0.12231445,88
-289.2456,124.52698,-174.94202,-0.26538086,0.015625,1.7473145,-0.09448242,-0.05419922,-0.12231445,89
-300.38452,119.9646,-163.31482,-0.22485352,-0.010253906,1.7573242,-0.11315918,-0.08166504,-0.1204834,90
